symbol,code,settled_date,local_close,local_adjfactor,online_close_qfq,diff_pct_online_qfq,online_error,status
000001.SZ,000001,2025-12-17,11.53,,11.53,0.0,,ok
601318.SH,601318,2025-12-17,68.05,,68.05,0.0,,ok
000858.SZ,000858,2025-12-17,110.82,,110.82,0.0,,ok
600519.SH,600519,2025-12-17,1433.1,,1433.1,0.0,,ok
300750.SZ,300750,2025-12-17,383.42,,383.42,0.0,,ok
600036.SH,600036,2025-12-17,41.52,,41.52,0.0,,ok
002594.SZ,002594,2025-12-17,95.21,,95.21,0.0,,ok
000002.SZ,000002,2025-12-17,4.96,,4.96,0.0,,ok
600276.SH,600276,2025-12-17,60.3,,60.3,0.0,,ok
601166.SH,601166,2025-12-17,20.48,,20.48,0.0,,ok
300059.SZ,300059,2025-12-17,23.09,,23.09,0.0,,ok
601012.SH,601012,2025-12-17,17.78,,17.78,0.0,,ok
603288.SH,603288,2025-12-17,37.03,,37.03,0.0,,ok
000333.SZ,000333,2025-12-17,80.47,,80.47,0.0,,ok
002475.SZ,002475,2025-12-17,58.66,,58.66,0.0,,ok
600309.SH,600309,2025-12-17,74.22,,74.22,0.0,,ok
600031.SH,600031,2025-12-17,21.07,,21.07,0.0,,ok
300760.SZ,300760,2025-12-17,196.36,,196.36,0.0,,ok
600900.SH,600900,2025-12-17,27.92,,27.92,0.0,,ok
002920.SZ,002920,2025-12-17,119.3,,119.3,0.0,,ok
600000.SH,600000,2025-12-17,11.54,,11.54,0.0,,ok
601328.SH,601328,2025-12-17,7.31,,7.31,0.0,,ok
601398.SH,601398,2025-12-17,7.81,,7.81,0.0,,ok
601939.SH,601939,2025-12-17,8.93,,8.93,0.0,,ok
601288.SH,601288,2025-12-17,7.45,,7.45,0.0,,ok
601988.SH,601988,2025-12-17,5.61,,5.61,0.0,,ok
600016.SH,600016,2025-12-17,3.91,,3.91,0.0,,ok
601169.SH,601169,2025-12-17,5.51,,5.51,0.0,,ok
002142.SZ,002142,2025-12-17,28.02,,28.02,0.0,,ok
601601.SH,601601,2025-12-17,40.79,,40.79,0.0,,ok
601336.SH,601336,2025-12-17,69.12,,69.12,0.0,,ok
601688.SH,601688,2025-12-17,23.68,,23.68,0.0,,ok
600030.SH,600030,2025-12-17,28.97,,28.97,0.0,,ok
601211.SH,601211,2025-12-17,20.77,,20.77,0.0,,ok
000776.SZ,000776,2025-12-17,21.83,,21.83,0.0,,ok
600999.SH,600999,2025-12-17,16.9,,16.9,0.0,,ok
002736.SZ,002736,2025-12-17,13.0,,13.0,0.0,,ok
601066.SH,601066,2025-12-17,27.48,,27.48,0.0,,ok
300033.SZ,300033,2025-12-17,316.64,,316.64,0.0,,ok
601628.SH,601628,2025-12-17,46.85,,46.85,0.0,,ok
601377.SH,601377,2025-12-17,7.35,,7.35,0.0,,ok
002773.SZ,002773,2025-12-17,30.31,,30.31,0.0,,ok
300015.SZ,300015,2025-12-17,11.24,,11.24,0.0,,ok
300347.SZ,300347,2025-12-17,50.1,,50.1,0.0,,ok
603259.SH,603259,2025-12-17,90.59,,90.59,0.0,,ok
000661.SZ,000661,2025-12-17,95.31,,95.31,0.0,,ok
300832.SZ,300832,2025-12-17,60.27,,60.27,0.0,,ok
300676.SZ,300676,2025-12-17,45.68,,45.68,0.0,,ok
000538.SZ,000538,2025-12-17,56.2,,56.2,0.0,,ok
688111.SH,688111,2025-12-17,312.42,,312.42,0.0,,ok
002230.SZ,002230,2025-12-17,49.33,,49.33,0.0,,ok
000063.SZ,000063,2025-12-17,36.96,,36.96,0.0,,ok
002415.SZ,002415,2025-12-17,29.07,,29.07,0.0,,ok
300433.SZ,300433,2025-12-17,29.65,,29.65,0.0,,ok
000100.SZ,000100,2025-12-17,4.67,,4.67,0.0,,ok
002371.SZ,002371,2025-12-17,444.74,,444.74,0.0,,ok
603501.SH,603501,2025-12-17,125.74,,125.74,0.0,,ok
300124.SZ,300124,2025-12-17,71.85,,71.85,0.0,,ok
002008.SZ,002008,2025-12-17,37.73,,37.73,0.0,,ok
002049.SZ,002049,2025-12-17,75.06,,75.06,0.0,,ok
000725.SZ,000725,2025-12-17,4.17,,4.17,0.0,,ok
300136.SZ,300136,2025-12-17,35.76,,35.76,0.0,,ok
600887.SH,600887,2025-12-17,28.85,,28.85,0.0,,ok
000568.SZ,000568,2025-12-17,122.11,,122.11,0.0,,ok
000596.SZ,000596,2025-12-17,145.6,,145.6,0.0,,ok
603369.SH,603369,2025-12-17,35.04,,35.04,0.0,,ok
600600.SH,600600,2025-12-17,62.24,,62.24,0.0,,ok
000895.SZ,000895,2025-12-17,27.2,,27.2,0.0,,ok
002304.SZ,002304,2025-12-17,62.38,,62.38,0.0,,ok
600809.SH,600809,2025-12-17,177.67,,177.67,0.0,,ok
000651.SZ,000651,2025-12-17,41.1,,41.1,0.0,,ok
603899.SH,603899,2025-12-17,27.9,,27.9,0.0,,ok
002555.SZ,002555,2025-12-17,21.9,,21.9,0.0,,ok
603486.SH,603486,2025-12-17,80.5,,80.5,0.0,,ok
603605.SH,603605,2025-12-17,67.78,,67.78,0.0,,ok
600779.SH,600779,2025-12-17,37.14,,37.14,0.0,,ok
601899.SH,601899,2025-12-17,30.87,,30.87,0.0,,ok
600219.SH,600219,2025-12-17,4.68,,4.68,0.0,,ok
601088.SH,601088,2025-12-17,40.0,,40.0,0.0,,ok
600426.SH,600426,2025-12-17,29.33,,29.33,0.0,,ok
600585.SH,600585,2025-12-17,22.06,,22.06,0.0,,ok
601600.SH,601600,2025-12-17,10.59,,10.59,0.0,,ok
600019.SH,600019,2025-12-17,7.11,,7.11,0.0,,ok
002129.SZ,002129,2025-12-17,8.37,,8.37,0.0,,ok
601865.SH,601865,2025-12-17,15.41,,15.41,0.0,,ok
300274.SZ,300274,2025-12-17,169.5,,169.5,0.0,,ok
300014.SZ,300014,2025-12-17,69.96,,69.96,0.0,,ok
002460.SZ,002460,2025-12-17,62.99,,62.99,0.0,,ok
300450.SZ,300450,2025-12-17,47.49,,47.49,0.0,,ok
688599.SH,688599,2025-12-17,16.67,,16.67,0.0,,ok
002466.SZ,002466,2025-12-17,53.14,,53.14,0.0,,ok
600438.SH,600438,2025-12-17,21.18,,21.18,0.0,,ok
600048.SH,600048,2025-12-17,6.28,,6.28,0.0,,ok
001979.SZ,001979,2025-12-17,8.76,,8.76,0.0,,ok
000069.SZ,000069,2025-12-17,2.56,,2.56,0.0,,ok
600340.SH,600340,2025-12-17,2.3,,2.3,0.0,,ok
600011.SH,600011,2025-12-17,7.81,,7.81,0.0,,ok
600886.SH,600886,2025-12-17,13.51,,13.51,0.0,,ok
600025.SH,600025,2025-12-17,9.37,,9.37,0.0,,ok
600674.SH,600674,2025-12-17,14.27,,14.27,0.0,,ok
